,etf,rf,credit,term,equity
0,0.47739051940075944,0.04563651745348951,0.03806424848649424,0.020933472915717767,0.41166760256144397
1,0.2917469025960519,0.11499050132059661,0.03254846437839061,0.018308586907374226,0.22938108032823804
2,-0.048072104134659704,0.2335030376043484,0.023492815414992253,0.010997448094368431,-0.09297089601407157
3,0.10405497263881838,0.055202948102724594,0.03583190038442545,0.016508502590969518,0.06411473923509274
4,0.2432068725065515,0.10856705972679556,0.0328618141046055,0.01733961433883553,0.18706465791616703
5,0.16304007007373927,0.04563651745348951,0.03806424848649424,0.020933472915717767,0.41166760256144397
6,0.04781179442972429,0.11499050132059661,0.03254846437839061,0.018308586907374226,0.22938108032823804
7,0.0031134475521303654,0.2335030376043484,0.023492815414992253,0.010997448094368431,-0.09297089601407157
8,0.17667119376251894,0.055202948102724594,0.03583190038442545,0.016508502590969518,0.06411473923509274
9,0.09011507911513945,0.10856705972679556,0.0328618141046055,0.01733961433883553,0.18706465791616703
10,0.05434076292219162,0.04563651745348951,0.03806424848649424,0.020933472915717767,0.41166760256144397
11,0.022053784000393303,0.11499050132059661,0.03254846437839061,0.018308586907374226,0.22938108032823804
12,0.07748043226695259,0.2335030376043484,0.023492815414992253,0.010997448094368431,-0.09297089601407157
13,0.19651295915233447,0.055202948102724594,0.03583190038442545,0.016508502590969518,0.06411473923509274
14,0.07028141142852116,0.10856705972679556,0.0328618141046055,0.01733961433883553,0.18706465791616703
