,Coefficient_1,Coefficient_2,Coefficient_3,Coefficient_4,Coefficient_5,Coefficient_6,Coefficient_7,Coefficient_8,Coefficient_9,Coefficient_10,Coefficient_11,Coefficient_12,Coefficient_13,Coefficient_14,Coefficient_15,Coefficient_16,Coefficient_17,Coefficient_18,Coefficient_19,Coefficient_20,Coefficient_21,Coefficient_22,Coefficient_23,Coefficient_24,Coefficient_25
const,0.019040783536632855,1.441919264960007,2.963294503752098,1.1366935566757166,0.6706329005136744,0.019040783536632855,1.441919264960007,2.963294503752098,1.1366935566757166,0.6706329005136744,0.019040783536632855,1.441919264960007,2.963294503752098,1.1366935566757166,0.6706329005136744,0.019040783536632855,1.441919264960007,2.963294503752098,1.1366935566757166,0.6706329005136744,0.019040783536632855,1.441919264960007,2.963294503752098,1.1366935566757166,0.6706329005136744
rf,-0.03235894514504131,-0.22177636048527097,0.17586924052184846,-0.18447086684060301,-0.415034109302053,-0.03235894514504131,-0.22177636048527097,0.17586924052184846,-0.18447086684060301,-0.415034109302053,-0.03235894514504131,-0.22177636048527097,0.17586924052184846,-0.18447086684060301,-0.415034109302053,-0.03235894514504131,-0.22177636048527097,0.17586924052184846,-0.18447086684060301,-0.415034109302053,-0.03235894514504131,-0.22177636048527097,0.17586924052184846,-0.18447086684060301,-0.415034109302053
credit01,-0.0031546026387863427,0.170702566775659,0.16485227669300187,0.173667690771367,0.16470932651765272,-0.0031546026387863427,0.170702566775659,0.16485227669300187,0.173667690771367,0.16470932651765272,-0.0031546026387863427,0.170702566775659,0.16485227669300187,0.173667690771367,0.16470932651765272,-0.0031546026387863427,0.170702566775659,0.16485227669300187,0.173667690771367,0.16470932651765272,-0.0031546026387863427,0.170702566775659,0.16485227669300187,0.173667690771367,0.16470932651765272
credit02,-1.3728353780313194,-22.722316003786986,-8.291953292860805,-18.103659320660768,-23.396771908012035,-1.3728353780313194,-22.722316003786986,-8.291953292860805,-18.103659320660768,-23.396771908012035,-1.3728353780313194,-22.722316003786986,-8.291953292860805,-18.103659320660768,-23.396771908012035,-1.3728353780313194,-22.722316003786986,-8.291953292860805,-18.103659320660768,-23.396771908012035,-1.3728353780313194,-22.722316003786986,-8.291953292860805,-18.103659320660768,-23.396771908012035
credit03,-0.0943842311400287,9.29216352143875,5.781072365619011,8.669605777758708,4.11196038336014,-0.0943842311400287,9.29216352143875,5.781072365619011,8.669605777758708,4.11196038336014,-0.0943842311400287,9.29216352143875,5.781072365619011,8.669605777758708,4.11196038336014,-0.0943842311400287,9.29216352143875,5.781072365619011,8.669605777758708,4.11196038336014,-0.0943842311400287,9.29216352143875,5.781072365619011,8.669605777758708,4.11196038336014
term01,-0.5012573213832514,-10.402914372199216,-14.901226028433868,-5.127641269743707,-8.90832286958992,-0.5012573213832514,-10.402914372199216,-14.901226028433868,-5.127641269743707,-8.90832286958992,-0.5012573213832514,-10.402914372199216,-14.901226028433868,-5.127641269743707,-8.90832286958992,-0.5012573213832514,-10.402914372199216,-14.901226028433868,-5.127641269743707,-8.90832286958992,-0.5012573213832514,-10.402914372199216,-14.901226028433868,-5.127641269743707,-8.90832286958992
term02,0.21493788533366898,9.310061854128438,16.629731014280967,1.9702208226505746,7.039726775301194,0.21493788533366898,9.310061854128438,16.629731014280967,1.9702208226505746,7.039726775301194,0.21493788533366898,9.310061854128438,16.629731014280967,1.9702208226505746,7.039726775301194,0.21493788533366898,9.310061854128438,16.629731014280967,1.9702208226505746,7.039726775301194,0.21493788533366898,9.310061854128438,16.629731014280967,1.9702208226505746,7.039726775301194
term03,98.87051003258392,7.068991291447839,-36.057797067372945,47.37347383299973,32.02923085961407,98.87051003258392,7.068991291447839,-36.057797067372945,47.37347383299973,32.02923085961407,98.87051003258392,7.068991291447839,-36.057797067372945,47.37347383299973,32.02923085961407,98.87051003258392,7.068991291447839,-36.057797067372945,47.37347383299973,32.02923085961407,98.87051003258392,7.068991291447839,-36.057797067372945,47.37347383299973,32.02923085961407
equity01,99.16102292649076,9.272976473289546,-30.21991154895241,43.95297829695326,33.839944913266564,99.16102292649076,9.272976473289546,-30.21991154895241,43.95297829695326,33.839944913266564,99.16102292649076,9.272976473289546,-30.21991154895241,43.95297829695326,33.839944913266564,99.16102292649076,9.272976473289546,-30.21991154895241,43.95297829695326,33.839944913266564,99.16102292649076,9.272976473289546,-30.21991154895241,43.95297829695326,33.839944913266564
equity02,-0.08719210947815853,1.2431773515477165,1.4675546060959717,1.425744446534419,0.7100063224123849,-0.08719210947815853,1.2431773515477165,1.4675546060959717,1.425744446534419,0.7100063224123849,-0.08719210947815853,1.2431773515477165,1.4675546060959717,1.425744446534419,0.7100063224123849,-0.08719210947815853,1.2431773515477165,1.4675546060959717,1.425744446534419,0.7100063224123849,-0.08719210947815853,1.2431773515477165,1.4675546060959717,1.425744446534419,0.7100063224123849
